"slug","category","title","description","url"
"are-alternative-investments-right-for-you","investment","Are Alternative Investments Right for You?","With alternative investments, it's critical to sort through the complexity.","https://fast.wistia.net/embed/iframe/hfphbxnch2"
"the-business-cycle","investment","The Business Cycle","How will you weather the ups and downs of the business cycle?","https://fast.wistia.net/embed/iframe/zgicvscvdg"
"the-rule-of-72","investment","The Rule of 72","Do you know how long it may take for your investments to double in value? The Rule of 72 is a quick way to figure it out.","https://fast.wistia.net/embed/iframe/x98i3iqfxz"
"what-smart-investors-know","investment","What Smart Investors Know","Savvy investors take the time to separate emotion from fact.","https://fast.wistia.net/embed/iframe/bwh66qs8am"
"the-power-of-compound-interest","investment","The Power of Compound Interest","Learn how to harness the power of compound interest for your investments.","https://fast.wistia.net/embed/iframe/10qq1z99o9"
"should-you-invest-in-exchange-traded-funds","investment","Should You Invest in Exchange Traded Funds?","There are thousands of ETFs available. Should you invest in them?","https://fast.wistia.net/embed/iframe/23k7458fuq"
"where-is-the-market-headed","investment","Where Is the Market Headed?","We all know the stock market can be unpredictable. We all want to know, ""What's next for the financial markets?""","https://fast.wistia.net/embed/iframe/9ax8r1ijje"
"the-cycle-of-investing","investment","The Cycle of Investing","Understanding the cycle of investing may help you avoid easy pitfalls.","https://fast.wistia.net/embed/iframe/41c9d3d6a0"
"leaving-your-lasting-legacy","estate","Leaving Your Lasting Legacy","Want to do more with your wealth? You might want to consider creating a charitable foundation.","https://fast.wistia.net/embed/iframe/qc0hg4zjgt"
"4-elements-of-an-estate-strategy","estate","4 Elements of an Estate Strategy","Learn about the importance of having an estate strategy in this helpful and informative video.","https://fast.wistia.net/embed/iframe/kfc4d1mtz1"
"when-special-care-is-needed-the-special-needs-trust","estate","When Special Care Is Needed: The Special Needs Trust","A special needs trust helps care for a special needs child when you're gone.","https://fast.wistia.net/embed/iframe/6m1nry4n67"
"safeguard-your-digital-estate","estate","Safeguard Your Digital Estate","If you died, what would happen to your email archives, social profiles and online accounts?","https://fast.wistia.net/embed/iframe/d5aha6bvy9"
"when-do-you-need-a-will","estate","When Do You Need a Will?","When do you need a will? The answer is easy: Right Now.","https://fast.wistia.net/embed/iframe/zgmke2aglb"
"charitable-giving-smart-from-the-heart","estate","Charitable Giving: Smart from the Heart","Do you have causes that you want to support with donations?","https://fast.wistia.net/embed/iframe/1qn6t0e6rs"
"estate-management-101","estate","Estate Management 101","A will may be only one of the documents you need—and one factor to consider—when it comes to managing your estate.","https://fast.wistia.net/embed/iframe/xoxa415k40"
"exit-strategies-of-the-rich-and-famous","estate","Exit Strategies of the Rich and Famous","Estate conservation is too important to put off. Do you have a smart exit strategy?","https://fast.wistia.net/embed/iframe/0e47c09940"
"dog-bites-and-homeowners-insurance","insurance","Dog Bites and Homeowners Insurance","Reviewing coverage options is just one thing responsible pet parents can do to help look out for their dogs.","https://fast.wistia.net/embed/iframe/t686luxuvn"
"the-wild-west-of-data-theft","insurance","The Wild West of Data Theft","Learn about cyber liability insurance in this entertaining video.","https://fast.wistia.net/embed/iframe/0f046f2dnk"
"stay-safe-with-a-business-owners-policy","insurance","Stay Safe with a Business Owner's Policy","Learn the advantages of Business Owner's Policies with this highly educational and fun animated video.","https://fast.wistia.net/embed/iframe/3gwgoap02s"
"extended-care-a-patchwork-of-possibilities","insurance","Extended Care: A Patchwork of Possibilities","What is your plan for health care during retirement?","https://fast.wistia.net/embed/iframe/k7ropk7ntw"
"an-arm-and-a-leg","insurance","An Arm and a Leg","A visit to the hospital can be painful, for both your body and your wallet. Don't let it be more painful than it has to be.","https://fast.wistia.net/embed/iframe/y6zjyd01c2"
"your-dna-test","insurance","Your DNA Test","A Detailed Needs Analysis (DNA) can be a simple way to care for loved ones, no matter what the future may hold.","https://fast.wistia.net/embed/iframe/llwtc30suk"
"how-to-bake-a-pie-r-a","tax","How to Bake a Pie-R-A","Roth IRAs are tax-advantaged differently from traditional IRAs. Do you know how?","https://fast.wistia.net/embed/iframe/ghdajxltfs"
"making-your-tax-bracket-work","tax","Making Your Tax Bracket Work","Have you explored all your options when it comes to managing your taxable income?","https://fast.wistia.net/embed/iframe/674ecfb4ba"
"the-facts-about-income-tax","tax","The Facts About Income Tax","Millions faithfully file their 1040 forms each April. But some things about federal income taxes may surprise you.","https://fast.wistia.net/embed/iframe/3b1aff4f53"
"the-power-of-tax-deferred-growth","tax","The Power of Tax-Deferred Growth","Why are 401(k) plans, annuities, and IRAs so popular?","https://fast.wistia.net/embed/iframe/78119b73d0"
"consider-these-3-things-before-driving-off-the-lot","lifestyle","Consider These 3 Things Before Driving Off the Lot","Here are 3 quick tips to keep in mind when buying or leasing your next vehicle.","https://fast.wistia.net/embed/iframe/oya9eo92gc"
"how-cash-apps-work","lifestyle","How Cash Apps Work","Peer-to-peer payment apps are one of the newest ways to send money.","https://fast.wistia.net/embed/iframe/6o2y61gida"
"top-5-things-to-tell-your-financial-pro","lifestyle","Top 5 Things to Tell Your Financial Pro","Here are the top 5 things your team may want to hear.","https://fast.wistia.net/embed/iframe/jpw45bg46s"
"working-with-a-financial-professional","lifestyle","Working With A Financial Professional","A financial professional is an invaluable resource to help you untangle the complexities of whatever life throws at you.","https://fast.wistia.net/embed/iframe/7o1v27uo37"
"finding-the-balance","lifestyle","Finding the Balance","The sandwich generation faces unique challenges. For many, meeting needs is a matter of finding a balance.","https://fast.wistia.net/embed/iframe/j2k394hkha"
"once-upon-a-goal","lifestyle","Once Upon a Goal","Do you know how to set up your financial goals for success? This knight does.","https://fast.wistia.net/embed/iframe/v7u9bhz885"
"a-new-way-to-look-at-your-bucket-list","lifestyle","A New Way to Look at Your Bucket List","Bucket lists don't have to be for tomorrow.","https://fast.wistia.net/embed/iframe/wla5fvjawv"
"surprise-youve-got-money","lifestyle","Surprise! You've Got Money!","Here's a quick guide to checking to see if you have unclaimed money.","https://fast.wistia.net/embed/iframe/veb1dbie7n"
"bridging-the-confidence-gap","lifestyle","Bridging the Confidence Gap","In the world of finance, the effects of the ""confidence gap"" can be especially apparent.","https://fast.wistia.net/embed/iframe/wyn1agf1iv"
"saving-for-college-101-video","lifestyle","Saving for College 101","Here's a crash course on saving for college.","https://fast.wistia.net/embed/iframe/gvv1holn9k"
"the-latte-lie-and-other-myths","lifestyle","The Latte Lie and Other Myths","Check out this video to begin separating fact from fiction.","https://fast.wistia.net/embed/iframe/sz196culsp"
